类别：所有类别

月份,氯硝西泮: (澳大利亚),奥卡西平: (澳大利亚),苯妥英: (澳大利亚),丙戊酸: (澳大利亚),乙苯嘧啶二酮: (澳大利亚)
2019-01,43,3,13,51,3
2019-02,52,3,15,61,3
2019-03,47,3,18,61,3
2019-04,48,3,14,56,5
2019-05,52,2,19,57,4
2019-06,50,3,16,58,2
2019-07,46,3,12,54,3
2019-08,49,4,15,60,3
2019-09,58,3,16,59,4
2019-10,50,3,16,61,2
2019-11,49,3,16,56,4
2019-12,46,3,11,53,3
2020-01,45,3,14,57,5
2020-02,52,2,13,59,3
2020-03,44,3,12,51,2
2020-04,42,2,12,50,4
2020-05,52,2,14,56,4
2020-06,51,4,14,62,4
2020-07,52,3,16,55,3
2020-08,52,4,16,55,2
2020-09,55,3,13,63,2
2020-10,48,5,17,64,5
2020-11,47,3,14,57,4
2020-12,45,0,10,49,2
2021-01,46,2,10,55,5
2021-02,62,4,11,61,4
2021-03,56,4,14,68,4
2021-04,51,3,16,59,2
2021-05,51,3,14,63,3
2021-06,54,4,14,62,3
2021-07,49,3,13,57,2
2021-08,49,4,14,58,2
2021-09,51,3,17,59,4
2021-10,47,4,13,58,2
2021-11,47,3,11,62,5
2021-12,41,3,10,46,3
2022-01,46,3,13,58,3
2022-02,46,3,16,61,4
2022-03,56,4,14,65,4
2022-04,49,4,17,59,3
2022-05,50,3,19,61,4
2022-06,51,3,17,60,4
2022-07,100,4,13,58,3
2022-08,87,4,15,66,5
2022-09,60,3,18,61,3
2022-10,56,4,15,61,4
2022-11,50,4,14,58,5
2022-12,58,2,10,53,4
2023-01,52,4,13,56,3
2023-02,57,5,12,63,5
2023-03,54,3,15,61,3
2023-04,62,4,14,65,6
2023-05,62,3,18,59,5
2023-06,58,4,14,62,4
2023-07,57,6,13,62,5
2023-08,54,5,11,63,5
2023-09,58,2,19,61,3
2023-10,55,5,14,66,5
2023-11,54,3,11,59,4
2023-12,57,4,10,51,3
2024-01,56,4,11,54,4
2024-02,55,4,15,72,4
2024-03,52,3,13,57,4
2024-04,57,3,15,63,4
2024-05,58,5,18,60,4
2024-06,50,5,11,51,3
2024-07,54,4,13,60,5
2024-08,55,4,14,57,4
2024-09,58,4,16,59,6
2024-10,67,4,16,60,3
2024-11,62,5,11,57,4
