类别：所有类别

月份,氯硝西泮: (澳大利亚),托吡酯: (澳大利亚),苯巴比妥: (澳大利亚),唑尼沙胺: (澳大利亚),氯巴占: (澳大利亚)
2019-01,44,26,7,3,5
2019-02,52,29,9,2,7
2019-03,47,30,11,4,5
2019-04,48,29,10,2,6
2019-05,51,31,12,4,8
2019-06,48,31,13,3,7
2019-07,46,35,10,2,8
2019-08,49,32,12,3,5
2019-09,59,34,10,3,6
2019-10,50,29,10,4,7
2019-11,49,31,11,0,7
2019-12,46,31,8,3,5
2020-01,46,28,10,3,7
2020-02,53,35,9,3,8
2020-03,46,29,9,2,6
2020-04,44,23,11,3,6
2020-05,53,31,10,4,7
2020-06,52,37,9,2,8
2020-07,51,33,9,2,8
2020-08,51,37,10,2,7
2020-09,55,41,10,3,8
2020-10,49,39,10,3,9
2020-11,47,33,10,3,10
2020-12,45,35,9,3,5
2021-01,46,32,9,4,7
2021-02,63,38,7,4,9
2021-03,54,39,8,4,10
2021-04,50,33,11,4,9
2021-05,51,36,8,4,7
2021-06,54,37,11,3,7
2021-07,48,30,10,3,6
2021-08,49,33,12,4,7
2021-09,50,37,12,2,10
2021-10,48,35,9,2,7
2021-11,48,36,10,2,7
2021-12,42,29,9,2,7
2022-01,47,31,10,3,8
2022-02,49,34,10,3,6
2022-03,56,35,10,3,8
2022-04,50,32,16,3,8
2022-05,51,37,12,3,9
2022-06,51,42,12,4,9
2022-07,100,39,11,3,10
2022-08,88,37,13,4,8
2022-09,61,45,13,3,9
2022-10,57,40,12,3,9
2022-11,50,40,13,4,9
2022-12,58,33,11,2,7
2023-01,53,37,11,3,7
2023-02,58,38,10,3,9
2023-03,54,41,13,2,10
2023-04,60,40,11,3,9
2023-05,63,42,15,3,11
2023-06,58,39,14,4,9
2023-07,57,37,12,2,9
2023-08,54,37,16,4,9
2023-09,57,37,15,3,9
2023-10,55,34,14,5,8
2023-11,55,37,14,2,10
2023-12,57,32,11,2,8
2024-01,55,36,14,2,8
2024-02,56,36,14,3,10
2024-03,51,34,12,4,8
2024-04,59,35,14,3,9
2024-05,58,38,12,4,11
2024-06,50,30,11,2,8
2024-07,55,36,13,3,10
2024-08,56,41,14,3,10
2024-09,59,35,17,4,10
2024-10,66,38,13,3,8
2024-11,63,41,12,3,9
