类别：所有类别

月份,氯硝西泮: (澳大利亚),4-氨基-5-己烯酸: (澳大利亚),非尔氨酯: (澳大利亚),加巴喷丁: (澳大利亚),Brivaracetam: (澳大利亚)
2019-01,39,0,0,44,0
2019-02,47,0,0,47,0
2019-03,42,1,0,44,0
2019-04,43,0,0,49,0
2019-05,46,2,0,49,0
2019-06,43,0,0,43,0
2019-07,41,0,0,49,0
2019-08,44,0,0,50,0
2019-09,53,0,0,51,0
2019-10,45,0,0,52,0
2019-11,44,0,0,53,0
2019-12,42,0,0,47,0
2020-01,41,0,0,50,0
2020-02,48,0,0,53,0
2020-03,41,0,0,45,0
2020-04,39,2,0,45,0
2020-05,48,0,0,55,0
2020-06,47,0,0,54,0
2020-07,46,2,0,57,0
2020-08,46,2,0,55,0
2020-09,50,2,0,62,0
2020-10,44,0,0,60,0
2020-11,43,2,0,57,0
2020-12,40,0,0,59,0
2021-01,42,0,0,61,0
2021-02,57,2,0,69,2
2021-03,49,2,0,69,0
2021-04,45,0,0,61,0
2021-05,46,0,0,67,0
2021-06,48,0,0,67,2
2021-07,43,0,0,59,0
2021-08,44,0,0,61,0
2021-09,45,0,0,65,0
2021-10,43,0,0,66,0
2021-11,43,0,0,66,0
2021-12,38,0,0,62,0
2022-01,42,0,0,69,0
2022-02,45,0,0,78,0
2022-03,51,1,0,80,0
2022-04,45,0,0,77,0
2022-05,46,2,0,83,1
2022-06,46,2,1,86,0
2022-07,90,0,0,81,0
2022-08,79,0,0,91,1
2022-09,55,1,0,80,2
2022-10,51,0,0,79,0
2022-11,45,0,0,84,0
2022-12,52,0,0,86,2
2023-01,47,2,0,85,0
2023-02,52,0,0,90,0
2023-03,49,2,0,86,0
2023-04,54,2,0,92,0
2023-05,56,1,0,90,1
2023-06,52,2,0,91,0
2023-07,51,4,0,88,0
2023-08,49,3,0,91,2
2023-09,52,0,0,98,2
2023-10,49,0,0,93,0
2023-11,49,2,0,91,0
2023-12,52,0,0,96,2
2024-01,49,0,0,93,2
2024-02,50,2,0,94,0
2024-03,46,2,0,92,2
2024-04,53,2,0,97,2
2024-05,52,0,0,97,0
2024-06,45,0,0,87,0
2024-07,50,2,0,95,3
2024-08,50,2,0,97,0
2024-09,53,2,0,96,2
2024-10,59,2,0,100,0
2024-11,57,2,0,89,2
