类别：所有类别

月份,氯硝西泮: (澳大利亚),Perampanel: (澳大利亚),Rufinamide: (澳大利亚),卡马西平: (澳大利亚),Tiagabine: (澳大利亚)
2019-01,44,2,0,32,0
2019-02,52,2,0,37,0
2019-03,47,4,0,33,0
2019-04,48,2,0,36,0
2019-05,51,2,0,38,0
2019-06,48,3,0,35,0
2019-07,46,2,0,35,0
2019-08,49,3,0,38,0
2019-09,59,3,0,38,0
2019-10,50,3,0,36,0
2019-11,49,2,0,34,0
2019-12,46,0,0,32,0
2020-01,46,2,0,32,0
2020-02,53,2,0,35,0
2020-03,46,2,0,31,0
2020-04,44,1,0,27,0
2020-05,53,3,0,36,0
2020-06,52,2,0,38,0
2020-07,51,3,0,35,2
2020-08,51,2,0,37,0
2020-09,55,3,0,35,0
2020-10,49,3,0,41,0
2020-11,47,3,0,37,0
2020-12,45,0,0,34,0
2021-01,46,3,0,32,0
2021-02,63,3,0,39,0
2021-03,54,2,0,39,0
2021-04,50,2,0,37,0
2021-05,51,2,0,36,0
2021-06,54,2,0,37,0
2021-07,48,3,0,35,0
2021-08,49,3,0,33,0
2021-09,50,3,0,36,0
2021-10,48,2,2,36,0
2021-11,48,3,0,37,0
2021-12,42,3,0,29,0
2022-01,47,3,0,33,0
2022-02,49,3,0,37,0
2022-03,56,3,1,36,0
2022-04,50,2,0,33,0
2022-05,51,0,0,36,0
2022-06,51,2,0,39,0
2022-07,100,4,0,35,0
2022-08,88,3,0,40,0
2022-09,61,3,0,38,0
2022-10,57,3,0,39,0
2022-11,50,2,0,35,0
2022-12,58,3,0,31,0
2023-01,53,2,0,31,0
2023-02,58,3,0,39,0
2023-03,54,3,0,41,0
2023-04,60,3,0,39,0
2023-05,63,3,2,40,0
2023-06,58,3,0,40,0
2023-07,57,3,0,35,0
2023-08,54,3,0,38,0
2023-09,57,2,0,41,0
2023-10,55,6,0,36,0
2023-11,55,4,0,38,0
2023-12,57,3,0,31,0
2024-01,55,4,0,34,0
2024-02,56,4,0,34,0
2024-03,51,4,0,35,0
2024-04,59,5,0,40,0
2024-05,58,5,0,35,0
2024-06,50,5,0,29,0
2024-07,55,4,0,37,0
2024-08,56,4,0,33,0
2024-09,59,3,0,37,0
2024-10,66,3,0,36,0
2024-11,63,4,0,35,0
