类别：所有类别

月份,氯硝西泮: (澳大利亚),左乙拉西坦: (澳大利亚),拉莫三嗪: (澳大利亚),拉科酰胺: (澳大利亚),普瑞巴林: (澳大利亚)
2019-01,14,9,12,1,62
2019-02,17,12,13,1,62
2019-03,15,11,13,1,68
2019-04,15,11,12,2,64
2019-05,16,13,13,1,59
2019-06,15,12,13,1,59
2019-07,15,12,13,2,61
2019-08,16,13,13,2,59
2019-09,19,13,14,1,63
2019-10,16,13,16,1,64
2019-11,16,12,13,1,60
2019-12,15,12,12,1,61
2020-01,15,12,13,1,60
2020-02,17,13,15,2,71
2020-03,15,12,12,1,52
2020-04,14,11,12,1,52
2020-05,17,14,14,1,56
2020-06,17,14,15,2,63
2020-07,16,13,16,2,63
2020-08,16,13,16,1,62
2020-09,18,13,17,2,74
2020-10,16,13,16,1,66
2020-11,15,12,15,2,66
2020-12,14,12,15,1,63
2021-01,15,11,16,2,64
2021-02,20,14,17,2,69
2021-03,17,14,18,2,70
2021-04,16,15,17,2,68
2021-05,16,13,16,1,69
2021-06,17,15,17,2,64
2021-07,15,12,17,2,60
2021-08,16,14,16,2,61
2021-09,16,13,17,1,100
2021-10,15,13,15,1,71
2021-11,15,14,16,2,65
2021-12,14,11,14,2,62
2022-01,15,12,13,2,60
2022-02,16,14,17,2,67
2022-03,18,13,18,3,65
2022-04,16,13,18,2,62
2022-05,16,15,19,2,76
2022-06,16,14,17,2,70
2022-07,32,15,19,2,65
2022-08,28,15,19,3,73
2022-09,20,15,20,2,68
2022-10,18,14,18,2,79
2022-11,16,15,20,3,66
2022-12,19,16,17,2,65
2023-01,17,14,17,2,66
2023-02,18,16,18,3,73
2023-03,17,15,18,2,56
2023-04,19,16,19,2,69
2023-05,20,16,19,2,75
2023-06,18,16,20,3,73
2023-07,18,15,19,2,67
2023-08,17,15,19,2,67
2023-09,18,16,20,2,73
2023-10,18,16,20,3,69
2023-11,18,14,20,3,67
2023-12,18,14,18,2,65
2024-01,18,14,18,3,67
2024-02,18,16,20,3,69
2024-03,16,16,21,3,64
2024-04,19,16,21,3,67
2024-05,19,15,20,3,67
2024-06,16,15,17,3,66
2024-07,18,17,18,2,68
2024-08,18,16,20,3,67
2024-09,19,16,22,3,68
2024-10,21,17,19,3,66
2024-11,20,16,19,3,64
