类别：所有类别

月份,氯硝西泮: (澳大利亚),乙琥胺: (澳大利亚),普瑞巴林: (澳大利亚),拉莫三嗪: (澳大利亚),加巴喷丁: (澳大利亚)
2019-01,14,1,62,12,16
2019-02,17,0,62,13,17
2019-03,15,0,68,13,16
2019-04,15,0,64,12,17
2019-05,16,1,59,13,17
2019-06,15,0,59,13,15
2019-07,15,1,61,13,17
2019-08,16,1,59,13,18
2019-09,19,0,63,14,18
2019-10,16,1,64,16,18
2019-11,16,0,60,13,19
2019-12,15,0,61,12,17
2020-01,15,0,60,13,18
2020-02,17,0,71,15,19
2020-03,15,0,52,12,16
2020-04,14,0,52,12,16
2020-05,17,1,56,14,20
2020-06,17,0,63,15,19
2020-07,16,0,63,16,20
2020-08,16,<1,62,16,20
2020-09,18,0,74,17,22
2020-10,16,0,66,16,21
2020-11,15,0,66,15,20
2020-12,14,0,63,15,21
2021-01,15,0,64,16,22
2021-02,20,0,69,17,25
2021-03,17,0,70,18,25
2021-04,16,0,68,17,22
2021-05,16,0,69,16,24
2021-06,17,0,64,17,24
2021-07,15,<1,60,17,21
2021-08,16,1,61,16,22
2021-09,16,1,100,17,23
2021-10,15,1,71,15,24
2021-11,15,1,65,16,24
2021-12,14,0,62,14,22
2022-01,15,1,60,13,25
2022-02,16,0,67,17,28
2022-03,18,0,65,18,29
2022-04,16,1,62,18,27
2022-05,16,1,76,19,30
2022-06,16,<1,70,17,30
2022-07,32,1,65,19,29
2022-08,28,1,73,19,33
2022-09,20,1,68,20,29
2022-10,18,1,79,18,28
2022-11,16,1,66,20,30
2022-12,19,1,65,17,31
2023-01,17,1,66,17,30
2023-02,18,1,73,18,32
2023-03,17,<1,56,18,31
2023-04,19,1,69,19,33
2023-05,20,1,75,19,32
2023-06,18,0,73,20,32
2023-07,18,0,67,19,31
2023-08,17,<1,67,19,32
2023-09,18,1,73,20,35
2023-10,18,1,69,20,33
2023-11,18,0,67,20,32
2023-12,18,1,65,18,34
2024-01,18,0,67,18,33
2024-02,18,0,69,20,34
2024-03,16,<1,64,21,33
2024-04,19,1,67,21,35
2024-05,19,1,67,20,34
2024-06,16,1,66,17,31
2024-07,18,1,68,18,34
2024-08,18,0,67,20,35
2024-09,19,1,68,22,34
2024-10,21,1,66,19,36
2024-11,20,0,64,19,32
