类别：所有类别

月份,氯硝西泮: (巴西),Perampanel: (巴西),Rufinamide: (巴西),卡马西平: (巴西),Tiagabine: (巴西)
2019-01,64,0,0,12,0
2019-02,58,0,0,13,0
2019-03,64,0,0,13,0
2019-04,66,0,0,14,0
2019-05,72,0,0,14,0
2019-06,65,0,0,13,0
2019-07,68,0,0,13,0
2019-08,69,0,0,14,0
2019-09,69,0,0,15,0
2019-10,68,0,0,13,0
2019-11,73,0,0,13,0
2019-12,73,0,0,13,0
2020-01,70,0,0,12,0
2020-02,82,0,<1,14,0
2020-03,73,0,0,13,0
2020-04,76,0,<1,11,0
2020-05,83,0,0,13,0
2020-06,75,0,0,12,0
2020-07,72,0,0,12,0
2020-08,71,0,0,12,0
2020-09,68,0,<1,13,0
2020-10,65,0,0,13,0
2020-11,68,0,0,13,0
2020-12,68,0,0,12,0
2021-01,75,0,0,13,0
2021-02,72,0,0,14,0
2021-03,75,0,0,13,0
2021-04,77,0,0,13,0
2021-05,69,0,0,12,0
2021-06,74,0,0,13,0
2021-07,70,0,<1,14,0
2021-08,73,0,0,14,0
2021-09,75,0,0,13,0
2021-10,73,0,0,12,0
2021-11,69,0,0,13,0
2021-12,73,0,0,13,0
2022-01,89,0,0,15,0
2022-02,87,0,0,14,0
2022-03,87,0,0,14,<1
2022-04,85,0,0,16,0
2022-05,87,0,<1,16,0
2022-06,86,0,0,16,0
2022-07,98,0,0,16,0
2022-08,100,0,0,16,0
2022-09,97,0,<1,16,0
2022-10,91,0,<1,14,0
2022-11,90,0,<1,14,0
2022-12,90,0,<1,14,0
2023-01,94,0,<1,14,0
2023-02,94,0,<1,15,0
2023-03,95,0,<1,15,0
2023-04,96,0,0,15,0
2023-05,99,<1,0,16,0
2023-06,93,0,0,15,<1
2023-07,90,<1,<1,16,0
2023-08,86,0,0,15,0
2023-09,92,0,0,15,0
2023-10,90,0,0,15,0
2023-11,84,0,0,14,0
2023-12,96,0,0,16,0
2024-01,90,0,0,14,0
2024-02,91,0,0,15,0
2024-03,88,0,0,15,0
2024-04,94,0,0,15,<1
2024-05,94,0,0,14,0
2024-06,82,0,0,13,0
2024-07,86,0,0,14,0
2024-08,87,0,0,15,0
2024-09,91,0,0,14,0
2024-10,86,0,0,15,<1
2024-11,89,0,0,15,0
