类别：所有类别

月份,氯硝西泮: (巴西),Brivaracetam: (巴西),加巴喷丁: (巴西),非尔氨酯: (巴西),4-氨基-5-己烯酸: (巴西)
2019-01,63,0,9,0,1
2019-02,61,0,9,0,1
2019-03,61,0,10,0,1
2019-04,63,0,11,0,1
2019-05,71,0,10,0,1
2019-06,67,0,10,0,1
2019-07,72,0,11,0,1
2019-08,68,0,10,0,1
2019-09,69,0,11,0,1
2019-10,70,0,11,0,1
2019-11,75,0,11,0,1
2019-12,72,0,11,0,1
2020-01,71,0,11,0,1
2020-02,76,0,12,0,<1
2020-03,74,0,10,0,<1
2020-04,78,0,9,0,<1
2020-05,79,0,10,0,<1
2020-06,75,0,10,0,<1
2020-07,73,0,11,0,<1
2020-08,73,0,11,0,1
2020-09,69,0,12,0,<1
2020-10,66,0,12,0,1
2020-11,68,0,12,0,1
2020-12,72,0,12,0,1
2021-01,71,0,13,0,1
2021-02,74,0,13,0,1
2021-03,77,0,11,0,<1
2021-04,76,0,12,0,<1
2021-05,69,0,12,0,1
2021-06,74,0,12,0,1
2021-07,72,0,12,0,<1
2021-08,74,0,14,0,<1
2021-09,75,0,14,0,1
2021-10,76,0,12,0,1
2021-11,70,0,14,0,1
2021-12,78,0,15,0,<1
2022-01,88,0,13,0,1
2022-02,91,0,14,0,<1
2022-03,87,0,14,0,<1
2022-04,86,0,14,0,1
2022-05,80,0,13,0,1
2022-06,83,0,15,0,1
2022-07,99,0,15,0,<1
2022-08,98,0,15,0,1
2022-09,91,0,16,0,1
2022-10,88,0,15,0,1
2022-11,92,0,15,0,1
2022-12,91,0,15,0,1
2023-01,93,0,16,0,1
2023-02,96,0,16,0,1
2023-03,97,0,17,0,1
2023-04,98,0,17,0,1
2023-05,98,0,18,0,<1
2023-06,91,0,17,0,1
2023-07,94,0,17,0,2
2023-08,89,0,18,0,2
2023-09,91,0,17,0,2
2023-10,88,0,17,0,1
2023-11,89,0,16,0,1
2023-12,100,0,21,0,1
2024-01,93,0,18,0,1
2024-02,91,0,15,0,1
2024-03,91,0,17,0,<1
2024-04,92,0,17,0,1
2024-05,90,0,17,0,1
2024-06,81,<1,16,0,1
2024-07,86,0,17,0,<1
2024-08,87,0,17,0,<1
2024-09,90,0,18,0,<1
2024-10,92,0,18,0,1
2024-11,88,0,18,0,1
