类别：所有类别

月份,氯硝西泮: (巴西),氯巴占: (巴西),唑尼沙胺: (巴西),苯巴比妥: (巴西),托吡酯: (巴西)
2019-01,63,4,0,12,16
2019-02,61,4,0,13,15
2019-03,61,4,0,13,15
2019-04,63,4,<1,13,17
2019-05,71,4,<1,13,17
2019-06,67,4,<1,13,15
2019-07,72,4,<1,13,15
2019-08,68,4,0,14,17
2019-09,69,4,0,14,15
2019-10,70,4,<1,13,17
2019-11,75,4,0,14,16
2019-12,72,4,0,13,14
2020-01,71,4,<1,14,16
2020-02,76,4,0,15,16
2020-03,74,4,0,13,14
2020-04,78,4,<1,13,12
2020-05,79,4,<1,15,13
2020-06,75,4,<1,14,14
2020-07,73,4,0,13,14
2020-08,73,4,<1,12,15
2020-09,69,4,<1,12,16
2020-10,66,4,<1,13,16
2020-11,68,4,0,15,15
2020-12,72,4,0,14,15
2021-01,71,4,<1,13,15
2021-02,74,4,0,15,18
2021-03,77,4,<1,13,16
2021-04,76,4,0,14,16
2021-05,69,3,<1,13,16
2021-06,74,4,<1,15,15
2021-07,72,4,<1,15,14
2021-08,74,4,0,13,19
2021-09,75,4,<1,15,18
2021-10,76,4,0,15,17
2021-11,70,5,0,13,15
2021-12,78,5,<1,14,15
2022-01,88,4,0,15,18
2022-02,91,4,0,15,18
2022-03,87,4,<1,14,20
2022-04,86,4,<1,15,20
2022-05,80,4,0,14,18
2022-06,83,4,0,15,18
2022-07,99,4,0,14,20
2022-08,98,4,0,15,22
2022-09,91,4,0,15,20
2022-10,88,4,0,14,18
2022-11,92,4,<1,15,19
2022-12,91,4,<1,14,17
2023-01,93,4,<1,14,19
2023-02,96,4,<1,15,19
2023-03,97,5,0,15,23
2023-04,98,4,<1,16,19
2023-05,98,4,<1,16,22
2023-06,91,5,<1,17,22
2023-07,94,5,0,16,20
2023-08,89,5,0,17,20
2023-09,91,4,<1,15,20
2023-10,88,5,<1,15,20
2023-11,89,5,0,14,19
2023-12,100,5,0,16,19
2024-01,93,4,0,16,19
2024-02,91,5,0,15,18
2024-03,91,5,0,14,17
2024-04,92,5,0,16,18
2024-05,90,5,0,16,19
2024-06,81,4,0,14,17
2024-07,86,5,0,15,18
2024-08,87,4,<1,15,19
2024-09,90,5,0,16,20
2024-10,92,5,0,15,19
2024-11,88,5,<1,15,19
