类别：所有类别

月份,氯硝西泮: (巴西),奥卡西平: (巴西),苯妥英: (巴西),丙戊酸: (巴西),乙苯嘧啶二酮: (巴西)
2019-01,64,4,4,17,2
2019-02,58,4,4,16,2
2019-03,64,4,4,18,2
2019-04,66,4,5,18,2
2019-05,72,4,5,19,1
2019-06,65,4,5,17,2
2019-07,68,4,4,19,2
2019-08,69,4,5,18,2
2019-09,69,4,5,18,2
2019-10,68,4,5,17,2
2019-11,73,4,5,18,1
2019-12,73,4,4,18,1
2020-01,70,3,4,18,2
2020-02,82,4,5,18,2
2020-03,73,3,5,18,1
2020-04,76,3,4,14,1
2020-05,83,3,5,15,1
2020-06,75,3,5,17,1
2020-07,72,3,5,17,1
2020-08,71,3,5,16,1
2020-09,68,3,5,17,2
2020-10,65,3,5,13,2
2020-11,68,3,5,11,2
2020-12,68,3,5,16,2
2021-01,75,3,5,18,1
2021-02,72,3,5,16,2
2021-03,75,3,5,11,2
2021-04,77,3,5,12,2
2021-05,69,3,5,12,2
2021-06,74,3,5,12,2
2021-07,70,3,5,11,2
2021-08,73,3,5,12,2
2021-09,75,4,5,13,2
2021-10,73,4,5,12,2
2021-11,69,4,5,13,2
2021-12,73,3,5,13,2
2022-01,89,3,6,13,2
2022-02,87,4,6,13,2
2022-03,87,5,6,13,2
2022-04,85,4,7,13,2
2022-05,87,4,7,14,2
2022-06,86,3,7,15,2
2022-07,98,3,6,13,2
2022-08,100,4,6,13,2
2022-09,97,4,7,15,2
2022-10,91,3,6,13,2
2022-11,90,3,7,14,2
2022-12,90,3,6,13,2
2023-01,94,3,6,13,2
2023-02,94,3,6,14,2
2023-03,95,4,7,16,2
2023-04,96,4,7,15,2
2023-05,99,4,8,16,2
2023-06,93,4,7,17,2
2023-07,90,4,7,15,2
2023-08,86,4,7,16,2
2023-09,92,4,7,15,2
2023-10,90,4,7,14,2
2023-11,84,4,6,14,2
2023-12,96,4,7,15,2
2024-01,90,4,6,15,2
2024-02,91,4,7,15,2
2024-03,88,4,7,15,2
2024-04,94,4,7,16,2
2024-05,94,3,7,15,2
2024-06,82,4,7,16,2
2024-07,86,4,7,14,2
2024-08,87,4,7,17,2
2024-09,91,4,7,16,2
2024-10,86,4,7,14,2
2024-11,89,4,7,17,2
