类别：所有类别

月份,氯硝西泮: (巴西),乙琥胺: (巴西),普瑞巴林: (巴西),拉莫三嗪: (巴西),加巴喷丁: (巴西)
2019-01,66,0,15,9,9
2019-02,64,0,17,9,9
2019-03,66,0,16,9,10
2019-04,68,<1,18,10,11
2019-05,72,<1,18,10,11
2019-06,67,0,18,10,11
2019-07,74,<1,20,10,11
2019-08,69,0,19,10,11
2019-09,70,0,19,10,11
2019-10,71,<1,21,10,11
2019-11,75,<1,20,9,11
2019-12,72,<1,19,9,12
2020-01,70,<1,18,9,11
2020-02,72,<1,21,9,12
2020-03,72,<1,18,8,10
2020-04,76,<1,15,7,9
2020-05,77,<1,16,7,10
2020-06,73,<1,18,8,10
2020-07,77,0,21,9,11
2020-08,73,<1,20,9,11
2020-09,70,<1,22,9,12
2020-10,65,<1,23,9,12
2020-11,73,<1,21,8,11
2020-12,72,<1,21,9,11
2021-01,73,0,23,9,12
2021-02,73,0,25,9,12
2021-03,77,<1,24,9,12
2021-04,78,<1,24,10,12
2021-05,72,<1,26,9,13
2021-06,72,<1,28,9,12
2021-07,71,0,29,9,14
2021-08,76,0,30,10,15
2021-09,76,<1,32,11,14
2021-10,74,<1,31,10,14
2021-11,71,<1,32,10,14
2021-12,79,<1,30,10,15
2022-01,91,<1,32,10,15
2022-02,90,<1,37,11,15
2022-03,89,<1,36,11,14
2022-04,87,<1,36,11,13
2022-05,85,<1,37,11,13
2022-06,87,<1,38,11,17
2022-07,100,<1,42,12,15
2022-08,100,<1,43,12,15
2022-09,93,<1,44,13,15
2022-10,90,<1,40,11,15
2022-11,88,<1,40,13,15
2022-12,91,<1,40,13,14
2023-01,100,<1,42,12,15
2023-02,96,0,46,12,16
2023-03,97,<1,48,13,17
2023-04,98,<1,47,13,17
2023-05,100,<1,48,13,18
2023-06,98,<1,48,14,18
2023-07,94,0,47,12,17
2023-08,91,<1,49,12,18
2023-09,94,<1,51,14,17
2023-10,89,<1,49,13,17
2023-11,91,<1,47,13,16
2023-12,99,<1,51,14,18
2024-01,94,<1,48,16,17
2024-02,94,<1,46,14,17
2024-03,86,<1,46,14,15
2024-04,94,<1,43,14,17
2024-05,92,<1,46,14,16
2024-06,84,<1,45,13,17
2024-07,88,<1,45,14,17
2024-08,88,<1,52,14,18
2024-09,91,<1,50,14,18
2024-10,90,<1,51,14,18
2024-11,90,<1,52,16,18
