类别：所有类别

月份,氯硝西泮: (巴西),左乙拉西坦: (巴西),拉莫三嗪: (巴西),拉科酰胺: (巴西),普瑞巴林: (巴西)
2019-01,66,3,9,1,15
2019-02,64,3,9,1,17
2019-03,66,3,9,1,16
2019-04,68,3,10,1,18
2019-05,72,3,10,1,18
2019-06,67,3,10,1,18
2019-07,74,3,10,1,20
2019-08,69,4,10,1,19
2019-09,70,3,10,1,19
2019-10,71,3,10,1,21
2019-11,75,3,9,1,20
2019-12,72,3,9,1,19
2020-01,70,3,9,1,18
2020-02,72,3,9,1,21
2020-03,72,3,8,1,18
2020-04,76,3,7,1,15
2020-05,77,3,7,1,16
2020-06,73,3,8,1,18
2020-07,77,3,9,1,21
2020-08,73,4,9,1,20
2020-09,70,4,9,1,22
2020-10,65,4,9,1,23
2020-11,73,4,8,1,21
2020-12,72,4,9,1,21
2021-01,73,4,9,1,23
2021-02,73,4,9,1,25
2021-03,77,4,9,1,24
2021-04,78,4,10,1,24
2021-05,72,5,9,1,26
2021-06,72,5,9,1,28
2021-07,71,5,9,1,29
2021-08,76,5,10,1,30
2021-09,76,5,11,1,32
2021-10,74,5,10,1,31
2021-11,71,5,10,1,32
2021-12,79,6,10,1,30
2022-01,91,6,10,1,32
2022-02,90,6,11,1,37
2022-03,89,6,11,1,36
2022-04,87,6,11,1,36
2022-05,85,6,11,1,37
2022-06,87,7,11,1,38
2022-07,100,6,12,1,42
2022-08,100,7,12,1,43
2022-09,93,6,13,1,44
2022-10,90,6,11,1,40
2022-11,88,6,13,1,40
2022-12,91,7,13,1,40
2023-01,100,7,12,1,42
2023-02,96,7,12,1,46
2023-03,97,7,13,1,48
2023-04,98,7,13,1,47
2023-05,100,8,13,1,48
2023-06,98,8,14,1,48
2023-07,94,8,12,1,47
2023-08,91,8,12,1,49
2023-09,94,8,14,1,51
2023-10,89,8,13,1,49
2023-11,91,8,13,2,47
2023-12,99,8,14,1,51
2024-01,94,8,16,2,48
2024-02,94,8,14,2,46
2024-03,86,8,14,2,46
2024-04,94,9,14,2,43
2024-05,92,9,14,2,46
2024-06,84,8,13,2,45
2024-07,88,9,14,2,45
2024-08,88,9,14,2,52
2024-09,91,10,14,2,50
2024-10,90,10,14,2,51
2024-11,90,10,16,2,52
