类别：所有类别

月份,氯硝西泮: (印度),奥卡西平: (印度),苯妥英: (印度),丙戊酸: (印度),乙苯嘧啶二酮: (印度)
2019-01,38,4,14,24,2
2019-02,40,5,16,24,2
2019-03,39,4,14,24,2
2019-04,37,5,16,23,3
2019-05,36,5,16,23,2
2019-06,36,4,13,25,2
2019-07,43,5,16,25,2
2019-08,44,5,16,27,2
2019-09,47,5,17,26,3
2019-10,55,5,17,25,2
2019-11,47,5,18,27,2
2019-12,46,5,19,18,3
2020-01,51,5,19,28,2
2020-02,52,6,21,31,2
2020-03,57,6,17,27,3
2020-04,69,6,18,25,2
2020-05,71,5,20,26,2
2020-06,73,5,19,17,2
2020-07,67,6,18,17,3
2020-08,70,6,17,24,5
2020-09,74,6,19,26,3
2020-10,71,6,19,16,2
2020-11,64,5,19,17,2
2020-12,60,6,21,17,2
2021-01,59,6,19,18,2
2021-02,72,6,23,19,3
2021-03,71,6,23,20,3
2021-04,71,6,22,16,3
2021-05,100,6,21,19,2
2021-06,85,7,27,25,2
2021-07,72,7,26,25,3
2021-08,70,6,25,24,3
2021-09,73,6,21,23,2
2021-10,63,6,18,21,2
2021-11,74,6,20,21,2
2021-12,63,6,20,24,3
2022-01,73,6,23,27,2
2022-02,85,8,29,32,3
2022-03,91,8,30,34,3
2022-04,78,8,28,29,3
2022-05,71,6,28,28,3
2022-06,75,7,29,27,3
2022-07,75,7,27,29,3
2022-08,81,7,24,29,3
2022-09,79,7,24,28,3
2022-10,76,7,21,26,3
2022-11,73,7,25,31,3
2022-12,74,7,25,29,3
2023-01,76,7,25,29,3
2023-02,91,7,26,32,3
2023-03,90,8,27,34,3
2023-04,81,7,27,31,3
2023-05,76,7,28,30,3
2023-06,88,7,29,33,3
2023-07,85,8,28,30,4
2023-08,94,8,25,32,4
2023-09,84,7,24,29,4
2023-10,81,7,23,30,3
2023-11,80,8,25,31,4
2023-12,83,7,27,32,4
2024-01,77,7,25,31,3
2024-02,74,8,25,30,3
2024-03,75,7,24,30,4
2024-04,68,7,24,26,4
2024-05,64,7,23,30,4
2024-06,59,6,18,23,3
2024-07,72,7,22,29,4
2024-08,75,8,20,30,4
2024-09,78,8,21,33,4
2024-10,75,7,20,30,4
2024-11,78,8,21,32,4
