类别：所有类别

月份,氯硝西泮: (印度),托吡酯: (印度),苯巴比妥: (印度),唑尼沙胺: (印度),氯巴占: (印度)
2019-01,38,6,12,1,14
2019-02,40,7,13,1,14
2019-03,39,7,14,1,13
2019-04,37,8,13,1,13
2019-05,36,7,12,1,12
2019-06,36,8,11,2,13
2019-07,43,8,13,1,16
2019-08,44,8,13,1,17
2019-09,47,8,12,1,15
2019-10,55,8,13,1,15
2019-11,47,8,13,1,15
2019-12,46,8,14,2,15
2020-01,51,8,14,2,22
2020-02,52,9,17,2,20
2020-03,57,8,17,2,18
2020-04,69,7,15,2,20
2020-05,71,8,18,2,17
2020-06,73,9,14,2,15
2020-07,67,8,15,1,16
2020-08,70,8,15,2,16
2020-09,74,9,17,1,17
2020-10,71,7,17,1,16
2020-11,64,9,15,1,18
2020-12,60,10,17,2,19
2021-01,59,10,17,2,19
2021-02,72,10,18,2,21
2021-03,71,11,18,2,20
2021-04,71,10,18,2,20
2021-05,100,10,20,2,21
2021-06,85,10,21,2,20
2021-07,72,9,25,2,21
2021-08,70,11,20,2,25
2021-09,73,9,18,2,23
2021-10,63,8,17,1,20
2021-11,74,9,19,2,24
2021-12,63,10,19,1,23
2022-01,73,9,21,1,27
2022-02,85,11,23,2,26
2022-03,91,11,25,2,25
2022-04,78,9,23,1,25
2022-05,71,9,22,2,22
2022-06,75,10,24,2,26
2022-07,75,9,23,2,31
2022-08,81,10,22,2,31
2022-09,79,10,22,2,29
2022-10,76,9,20,1,28
2022-11,73,10,22,2,28
2022-12,74,10,23,2,30
2023-01,76,10,23,1,31
2023-02,91,10,25,2,31
2023-03,90,11,25,2,30
2023-04,81,10,23,1,27
2023-05,76,9,23,1,25
2023-06,88,10,27,2,27
2023-07,85,9,25,2,29
2023-08,94,10,24,2,29
2023-09,84,10,22,2,29
2023-10,81,10,22,2,29
2023-11,80,8,24,2,27
2023-12,83,8,22,2,28
2024-01,77,8,22,1,28
2024-02,74,9,22,2,25
2024-03,75,9,21,1,25
2024-04,68,8,20,1,23
2024-05,64,9,20,2,22
2024-06,59,9,17,1,19
2024-07,72,10,18,2,23
2024-08,75,12,19,2,26
2024-09,78,11,20,2,27
2024-10,75,8,20,2,24
2024-11,78,9,20,2,23
