类别：所有类别

月份,氯硝西泮: (印度),4-氨基-5-己烯酸: (印度),非尔氨酯: (印度),加巴喷丁: (印度),Brivaracetam: (印度)
2019-01,38,2,0,27,1
2019-02,40,2,0,30,1
2019-03,39,1,<1,31,1
2019-04,37,2,0,29,<1
2019-05,36,1,<1,30,1
2019-06,36,1,0,30,1
2019-07,43,2,<1,33,1
2019-08,44,2,0,34,1
2019-09,47,2,0,35,1
2019-10,55,1,0,36,1
2019-11,47,2,0,41,1
2019-12,46,2,<1,36,1
2020-01,51,2,0,37,1
2020-02,52,4,0,41,1
2020-03,57,4,<1,36,1
2020-04,69,5,<1,39,1
2020-05,71,4,<1,42,1
2020-06,73,3,0,43,1
2020-07,67,3,0,42,1
2020-08,70,2,0,38,1
2020-09,74,2,<1,40,1
2020-10,71,2,0,39,1
2020-11,64,2,1,40,1
2020-12,60,1,0,38,1
2021-01,59,2,0,42,2
2021-02,72,3,0,47,4
2021-03,71,2,0,51,4
2021-04,71,2,0,44,3
2021-05,100,2,0,51,3
2021-06,85,2,<1,51,3
2021-07,72,2,<1,51,4
2021-08,70,2,0,49,4
2021-09,73,2,0,47,4
2021-10,63,1,0,43,4
2021-11,74,2,0,46,4
2021-12,63,1,0,45,4
2022-01,73,2,0,44,4
2022-02,85,2,0,56,5
2022-03,91,2,<1,59,5
2022-04,78,1,<1,50,4
2022-05,71,2,<1,50,4
2022-06,75,1,0,50,5
2022-07,75,1,0,53,4
2022-08,81,1,0,59,4
2022-09,79,1,0,56,4
2022-10,76,1,<1,55,5
2022-11,73,1,<1,52,5
2022-12,74,1,0,52,5
2023-01,76,2,0,50,5
2023-02,91,2,0,61,5
2023-03,90,1,0,63,5
2023-04,81,1,<1,59,5
2023-05,76,1,<1,60,5
2023-06,88,2,0,63,5
2023-07,85,1,<1,63,5
2023-08,94,1,<1,67,5
2023-09,84,1,0,68,5
2023-10,81,1,0,61,5
2023-11,80,1,<1,64,5
2023-12,83,1,0,60,5
2024-01,77,1,<1,59,5
2024-02,74,1,0,59,5
2024-03,75,1,0,59,6
2024-04,68,1,<1,57,5
2024-05,64,1,<1,55,5
2024-06,59,1,0,51,3
2024-07,72,1,0,56,5
2024-08,75,1,<1,58,5
2024-09,78,1,<1,64,5
2024-10,75,1,0,66,5
2024-11,78,1,0,65,6
