类别：所有类别

月份,氯硝西泮: (印度),Tiagabine: (印度),卡马西平: (印度),Rufinamide: (印度),Perampanel: (印度)
2019-01,38,0,16,0,1
2019-02,40,0,17,<1,1
2019-03,39,0,14,0,1
2019-04,37,0,16,<1,1
2019-05,36,0,16,<1,1
2019-06,36,0,14,<1,1
2019-07,43,0,17,<1,1
2019-08,44,0,16,<1,1
2019-09,47,<1,17,1,1
2019-10,55,0,16,0,1
2019-11,47,0,16,0,2
2019-12,46,0,17,0,1
2020-01,51,0,16,<1,2
2020-02,52,<1,17,<1,2
2020-03,57,0,14,<1,1
2020-04,69,0,15,0,1
2020-05,71,<1,15,0,1
2020-06,73,<1,17,0,1
2020-07,67,0,17,<1,1
2020-08,70,0,18,0,1
2020-09,74,0,19,<1,2
2020-10,71,<1,16,<1,1
2020-11,64,0,15,0,2
2020-12,60,<1,18,<1,1
2021-01,59,0,17,0,2
2021-02,72,0,19,<1,1
2021-03,71,<1,22,<1,2
2021-04,71,1,20,0,1
2021-05,100,<1,22,0,2
2021-06,85,0,25,1,3
2021-07,72,0,25,<1,2
2021-08,70,0,24,0,2
2021-09,73,0,20,0,2
2021-10,63,0,20,0,2
2021-11,74,0,21,0,2
2021-12,63,0,20,<1,2
2022-01,73,<1,21,0,2
2022-02,85,0,27,<1,2
2022-03,91,<1,27,<1,2
2022-04,78,<1,24,<1,2
2022-05,71,<1,23,<1,2
2022-06,75,<1,25,<1,2
2022-07,75,0,25,<1,2
2022-08,81,0,27,<1,2
2022-09,79,0,23,0,2
2022-10,76,0,23,<1,2
2022-11,73,0,27,<1,2
2022-12,74,0,26,<1,2
2023-01,76,0,24,<1,2
2023-02,91,0,26,0,3
2023-03,90,0,27,<1,2
2023-04,81,0,25,0,2
2023-05,76,0,24,<1,2
2023-06,88,0,28,<1,3
2023-07,85,0,25,<1,2
2023-08,94,0,27,0,3
2023-09,84,0,26,0,2
2023-10,81,0,25,<1,3
2023-11,80,0,25,0,2
2023-12,83,0,26,0,2
2024-01,77,0,25,0,3
2024-02,74,0,25,0,2
2024-03,75,<1,23,<1,2
2024-04,68,0,19,0,2
2024-05,64,<1,17,<1,2
2024-06,59,0,14,0,2
2024-07,72,0,17,0,2
2024-08,75,0,18,0,3
2024-09,78,0,19,<1,3
2024-10,75,0,18,0,3
2024-11,78,0,18,<1,2
