类别：所有类别

月份,氯硝西泮: (印度),左乙拉西坦: (印度),拉莫三嗪: (印度),拉科酰胺: (印度),普瑞巴林: (印度)
2019-01,28,10,6,2,32
2019-02,30,10,6,3,40
2019-03,29,10,5,3,34
2019-04,28,8,5,3,30
2019-05,27,9,6,3,34
2019-06,27,9,5,3,36
2019-07,32,10,6,3,38
2019-08,33,11,6,3,40
2019-09,35,10,6,3,42
2019-10,41,10,6,3,39
2019-11,35,12,6,3,41
2019-12,34,12,6,3,43
2020-01,38,13,7,3,40
2020-02,39,12,6,3,47
2020-03,43,12,6,3,46
2020-04,51,11,6,3,52
2020-05,53,11,5,3,53
2020-06,54,11,6,3,48
2020-07,50,11,6,2,50
2020-08,52,11,6,3,51
2020-09,55,11,6,3,49
2020-10,53,11,5,3,47
2020-11,48,12,6,3,51
2020-12,45,14,7,3,53
2021-01,44,13,6,3,52
2021-02,54,16,7,4,65
2021-03,53,14,7,4,67
2021-04,53,14,6,3,61
2021-05,74,14,7,3,71
2021-06,63,14,7,3,72
2021-07,54,13,7,4,70
2021-08,52,13,6,4,65
2021-09,54,13,7,3,70
2021-10,47,13,6,3,61
2021-11,55,13,7,3,63
2021-12,47,14,7,4,60
2022-01,54,14,7,4,61
2022-02,63,17,8,5,77
2022-03,68,17,8,4,92
2022-04,58,15,8,5,88
2022-05,53,15,7,4,88
2022-06,55,15,7,4,91
2022-07,56,16,6,4,89
2022-08,61,17,7,4,92
2022-09,59,16,7,5,84
2022-10,57,17,6,4,88
2022-11,55,16,7,5,82
2022-12,55,17,7,5,81
2023-01,56,18,7,5,81
2023-02,67,19,8,5,91
2023-03,67,17,8,5,92
2023-04,60,17,7,5,94
2023-05,57,17,7,5,86
2023-06,66,18,8,6,95
2023-07,63,18,7,5,95
2023-08,70,18,8,5,98
2023-09,63,18,8,5,93
2023-10,61,18,7,5,93
2023-11,60,19,7,5,91
2023-12,62,19,7,5,93
2024-01,57,19,8,5,86
2024-02,55,17,8,5,84
2024-03,56,17,8,5,86
2024-04,50,16,8,5,83
2024-05,48,15,8,5,83
2024-06,44,13,7,4,76
2024-07,53,17,8,5,84
2024-08,56,17,8,6,92
2024-09,58,19,8,6,100
2024-10,55,18,8,6,94
2024-11,58,17,8,6,88
