类别：所有类别

月份,氯硝西泮: (印度),乙琥胺: (印度),普瑞巴林: (印度),拉莫三嗪: (印度),加巴喷丁: (印度)
2019-01,28,<1,32,6,20
2019-02,30,1,40,6,22
2019-03,29,1,34,5,23
2019-04,28,1,30,5,21
2019-05,27,1,34,6,22
2019-06,27,1,36,5,22
2019-07,32,1,38,6,25
2019-08,33,<1,40,6,25
2019-09,35,<1,42,6,26
2019-10,41,1,39,6,27
2019-11,35,1,41,6,30
2019-12,34,1,43,6,27
2020-01,38,1,40,7,27
2020-02,39,1,47,6,31
2020-03,43,1,46,6,26
2020-04,51,1,52,6,29
2020-05,53,1,53,5,31
2020-06,54,1,48,6,32
2020-07,50,1,50,6,31
2020-08,52,1,51,6,28
2020-09,55,1,49,6,30
2020-10,53,1,47,5,29
2020-11,48,1,51,6,30
2020-12,45,1,53,7,29
2021-01,44,1,52,6,31
2021-02,54,1,65,7,35
2021-03,53,1,67,7,38
2021-04,53,1,61,6,33
2021-05,74,1,71,7,38
2021-06,63,1,72,7,38
2021-07,54,2,70,7,38
2021-08,52,2,65,6,36
2021-09,54,1,70,7,35
2021-10,47,1,61,6,32
2021-11,55,1,63,7,34
2021-12,47,1,60,7,33
2022-01,54,1,61,7,32
2022-02,63,1,77,8,42
2022-03,68,1,92,8,44
2022-04,58,1,88,8,37
2022-05,53,1,88,7,37
2022-06,55,1,91,7,37
2022-07,56,1,89,6,40
2022-08,61,1,92,7,44
2022-09,59,1,84,7,42
2022-10,57,1,88,6,41
2022-11,55,1,82,7,39
2022-12,55,1,81,7,39
2023-01,56,1,81,7,37
2023-02,67,1,91,8,45
2023-03,67,1,92,8,47
2023-04,60,1,94,7,44
2023-05,57,1,86,7,45
2023-06,66,1,95,8,47
2023-07,63,1,95,7,47
2023-08,70,1,98,8,50
2023-09,63,1,93,8,51
2023-10,61,1,93,7,45
2023-11,60,1,91,7,48
2023-12,62,1,93,7,44
2024-01,57,1,86,8,44
2024-02,55,1,84,8,44
2024-03,56,1,86,8,44
2024-04,50,1,83,8,43
2024-05,48,1,83,8,41
2024-06,44,1,76,7,38
2024-07,53,1,84,8,42
2024-08,56,1,92,8,43
2024-09,58,1,100,8,48
2024-10,55,1,94,8,49
2024-11,58,1,88,8,48
