类别：所有类别

月份,氯硝西泮: (南非),Perampanel: (南非),Rufinamide: (南非),卡马西平: (南非),Tiagabine: (南非)
2019-01,61,0,0,41,0
2019-02,53,0,0,51,0
2019-03,62,0,0,39,0
2019-04,61,0,0,41,0
2019-05,59,0,0,44,0
2019-06,64,0,0,41,0
2019-07,52,0,0,36,0
2019-08,56,0,0,41,0
2019-09,54,0,0,42,0
2019-10,68,0,0,44,0
2019-11,61,0,0,36,0
2019-12,52,0,0,38,0
2020-01,52,0,0,42,0
2020-02,66,0,0,46,0
2020-03,56,0,0,37,0
2020-04,66,0,0,36,0
2020-05,55,0,0,36,0
2020-06,50,0,0,29,0
2020-07,58,0,0,37,0
2020-08,56,0,0,30,0
2020-09,56,0,0,45,0
2020-10,60,0,0,41,0
2020-11,60,0,0,41,0
2020-12,53,0,0,37,0
2021-01,55,0,0,45,0
2021-02,56,0,0,40,0
2021-03,53,0,0,39,0
2021-04,60,0,0,43,0
2021-05,58,0,0,42,0
2021-06,61,0,0,43,0
2021-07,60,0,0,39,0
2021-08,56,0,0,40,0
2021-09,59,0,0,40,0
2021-10,54,0,0,43,0
2021-11,52,0,0,40,0
2021-12,49,0,0,31,0
2022-01,59,0,0,52,0
2022-02,59,0,0,44,0
2022-03,60,0,0,46,0
2022-04,64,3,0,43,0
2022-05,65,0,0,46,0
2022-06,63,0,0,49,0
2022-07,100,0,0,45,0
2022-08,84,0,0,33,0
2022-09,62,0,0,38,0
2022-10,61,0,0,43,0
2022-11,58,0,0,47,0
2022-12,56,0,0,35,0
2023-01,62,0,0,41,0
2023-02,61,0,0,45,0
2023-03,55,0,0,43,0
2023-04,63,0,0,38,0
2023-05,59,0,0,42,0
2023-06,62,0,0,42,0
2023-07,60,0,0,42,0
2023-08,58,0,0,39,0
2023-09,59,0,0,41,0
2023-10,56,0,0,41,0
2023-11,48,0,0,42,0
2023-12,54,0,0,34,0
2024-01,53,0,0,41,0
2024-02,57,0,0,40,0
2024-03,48,0,0,35,0
2024-04,42,5,0,36,0
2024-05,45,0,0,30,0
2024-06,36,0,0,36,0
2024-07,52,0,0,39,0
2024-08,45,0,0,33,0
2024-09,44,0,0,38,0
2024-10,52,0,0,36,0
2024-11,43,0,0,41,0
