类别：所有类别

月份,氯硝西泮: (南非),Brivaracetam: (南非),加巴喷丁: (南非),非尔氨酯: (南非),4-氨基-5-己烯酸: (南非)
2019-01,62,0,14,0,0
2019-02,54,0,20,0,0
2019-03,53,0,17,0,0
2019-04,59,0,17,0,0
2019-05,60,0,15,0,0
2019-06,62,0,22,0,0
2019-07,49,0,13,0,0
2019-08,57,0,18,0,0
2019-09,57,0,17,0,0
2019-10,68,0,21,0,0
2019-11,61,0,19,0,0
2019-12,52,0,27,0,0
2020-01,54,0,21,0,0
2020-02,64,0,18,0,0
2020-03,55,0,13,0,0
2020-04,66,0,17,0,0
2020-05,52,0,19,0,0
2020-06,50,0,14,0,0
2020-07,58,0,17,0,0
2020-08,58,0,19,0,0
2020-09,56,0,21,0,0
2020-10,60,0,19,0,0
2020-11,59,0,18,0,0
2020-12,54,0,17,0,0
2021-01,56,0,16,0,0
2021-02,58,0,19,0,0
2021-03,54,0,14,0,0
2021-04,60,0,14,0,0
2021-05,57,0,22,0,0
2021-06,61,0,15,0,0
2021-07,61,0,22,0,0
2021-08,55,0,21,0,0
2021-09,60,0,17,0,0
2021-10,54,0,21,0,0
2021-11,51,0,19,0,0
2021-12,49,0,17,0,0
2022-01,59,0,30,0,0
2022-02,57,0,24,0,0
2022-03,58,0,28,0,0
2022-04,65,0,25,4,0
2022-05,65,0,23,0,0
2022-06,63,0,24,0,0
2022-07,100,0,23,0,0
2022-08,86,0,20,0,0
2022-09,58,0,20,0,0
2022-10,61,0,24,0,0
2022-11,60,0,23,0,0
2022-12,56,0,24,0,0
2023-01,61,0,24,0,0
2023-02,62,0,26,0,0
2023-03,52,0,21,0,0
2023-04,62,0,23,0,0
2023-05,59,0,28,0,0
2023-06,61,0,26,0,0
2023-07,59,0,21,0,0
2023-08,58,0,24,0,0
2023-09,60,0,25,0,0
2023-10,55,3,24,0,0
2023-11,47,0,25,0,0
2023-12,54,0,25,0,0
2024-01,54,0,27,0,0
2024-02,56,0,22,0,0
2024-03,48,0,20,0,0
2024-04,42,0,28,0,0
2024-05,42,0,25,0,0
2024-06,34,0,25,0,0
2024-07,53,0,25,0,0
2024-08,46,0,22,0,0
2024-09,45,0,22,0,0
2024-10,52,0,25,0,0
2024-11,45,0,23,0,0
