类别：所有类别

月份,氯硝西泮: (南非),氯巴占: (南非),唑尼沙胺: (南非),苯巴比妥: (南非),托吡酯: (南非)
2019-01,43,81,0,7,7
2019-02,37,86,0,7,9
2019-03,36,85,0,6,10
2019-04,41,81,0,8,13
2019-05,41,89,0,7,12
2019-06,42,88,0,8,9
2019-07,34,82,0,5,13
2019-08,39,89,0,7,12
2019-09,39,86,0,6,12
2019-10,47,90,0,6,14
2019-11,42,90,0,5,13
2019-12,36,78,0,7,10
2020-01,37,91,0,7,10
2020-02,44,95,0,9,10
2020-03,38,82,0,9,11
2020-04,46,83,0,6,9
2020-05,36,89,0,7,8
2020-06,35,86,0,7,8
2020-07,40,78,0,8,7
2020-08,40,85,0,4,10
2020-09,39,87,0,7,12
2020-10,42,84,0,8,9
2020-11,41,87,0,4,10
2020-12,37,83,0,5,9
2021-01,38,94,0,6,7
2021-02,40,100,0,8,10
2021-03,37,86,0,5,10
2021-04,42,85,0,7,11
2021-05,39,87,0,7,7
2021-06,42,84,0,6,10
2021-07,42,88,0,6,8
2021-08,38,95,0,7,7
2021-09,41,87,0,7,6
2021-10,37,86,0,6,7
2021-11,35,94,0,7,9
2021-12,34,85,0,5,7
2022-01,40,14,0,5,8
2022-02,40,3,0,8,10
2022-03,40,61,0,7,9
2022-04,45,89,0,10,10
2022-05,45,91,0,10,9
2022-06,43,89,0,6,9
2022-07,69,98,0,8,9
2022-08,59,92,0,6,9
2022-09,40,91,0,5,8
2022-10,42,83,0,7,10
2022-11,41,81,0,8,5
2022-12,38,82,0,6,7
2023-01,42,94,0,5,9
2023-02,43,93,0,7,6
2023-03,36,88,0,7,8
2023-04,42,86,0,6,7
2023-05,41,92,0,5,7
2023-06,42,86,0,8,9
2023-07,41,90,0,7,10
2023-08,40,82,0,7,9
2023-09,41,87,0,5,9
2023-10,38,81,0,8,10
2023-11,32,85,0,8,8
2023-12,37,85,0,7,5
2024-01,37,75,0,6,8
2024-02,38,75,0,7,6
2024-03,33,77,0,6,8
2024-04,29,78,0,6,9
2024-05,29,82,3,7,9
2024-06,24,74,0,4,8
2024-07,36,79,0,6,9
2024-08,31,79,0,4,8
2024-09,31,79,0,8,10
2024-10,36,76,0,6,8
2024-11,31,79,0,5,8
