类别：所有类别

月份,氯硝西泮: (南非),奥卡西平: (南非),苯妥英: (南非),丙戊酸: (南非),乙苯嘧啶二酮: (南非)
2019-01,62,0,20,61,0
2019-02,54,0,20,58,0
2019-03,53,0,28,71,0
2019-04,59,0,21,73,0
2019-05,60,6,28,54,0
2019-06,62,0,23,62,0
2019-07,49,0,22,63,0
2019-08,57,0,23,68,0
2019-09,57,0,24,65,0
2019-10,68,0,17,59,0
2019-11,61,0,19,61,0
2019-12,52,0,14,57,0
2020-01,54,0,20,64,0
2020-02,64,0,27,65,0
2020-03,55,0,21,56,0
2020-04,66,0,16,58,0
2020-05,52,0,18,58,0
2020-06,50,0,18,57,0
2020-07,58,0,16,49,0
2020-08,58,0,15,57,0
2020-09,56,0,18,60,0
2020-10,60,0,21,60,0
2020-11,59,0,17,50,0
2020-12,54,0,12,55,5
2021-01,56,0,13,52,0
2021-02,58,0,16,57,0
2021-03,54,0,15,61,0
2021-04,60,0,18,58,0
2021-05,57,0,22,66,0
2021-06,61,0,19,60,0
2021-07,61,0,14,48,0
2021-08,55,0,14,55,0
2021-09,60,0,16,64,0
2021-10,54,0,17,52,0
2021-11,51,0,13,55,0
2021-12,49,0,17,50,0
2022-01,59,0,16,61,0
2022-02,57,0,20,62,0
2022-03,58,0,24,64,3
2022-04,65,0,18,62,4
2022-05,65,0,22,70,0
2022-06,63,5,27,73,0
2022-07,100,3,20,71,0
2022-08,86,0,17,68,0
2022-09,58,0,24,72,4
2022-10,61,0,18,65,5
2022-11,60,0,21,63,0
2022-12,56,0,17,51,0
2023-01,61,0,20,61,0
2023-02,62,0,18,67,0
2023-03,52,0,23,70,0
2023-04,62,4,25,60,0
2023-05,59,0,24,72,0
2023-06,61,0,24,75,0
2023-07,59,0,19,92,0
2023-08,58,4,20,72,4
2023-09,60,0,16,66,0
2023-10,55,0,20,65,0
2023-11,47,0,18,65,0
2023-12,54,0,12,54,0
2024-01,54,0,20,56,3
2024-02,56,0,23,64,0
2024-03,48,0,19,61,0
2024-04,42,0,18,67,5
2024-05,42,0,19,59,0
2024-06,34,0,17,58,0
2024-07,53,0,16,65,0
2024-08,46,0,17,68,0
2024-09,45,0,14,60,0
2024-10,52,0,13,63,0
2024-11,45,0,17,56,0
