类别：所有类别

月份,氯硝西泮: (南非),乙琥胺: (南非),普瑞巴林: (南非),拉莫三嗪: (南非),加巴喷丁: (南非)
2019-01,59,0,100,25,15
2019-02,52,0,100,27,19
2019-03,58,0,89,29,15
2019-04,59,0,80,26,17
2019-05,59,0,90,25,13
2019-06,59,0,82,22,20
2019-07,55,0,88,21,16
2019-08,57,0,86,25,18
2019-09,57,0,83,28,17
2019-10,67,0,89,28,23
2019-11,59,0,78,40,19
2019-12,51,0,82,21,26
2020-01,54,0,78,22,19
2020-02,66,0,71,27,18
2020-03,57,0,70,23,12
2020-04,65,0,79,18,17
2020-05,52,0,85,21,15
2020-06,47,0,65,21,14
2020-07,56,0,66,19,17
2020-08,57,0,73,26,18
2020-09,57,0,72,27,20
2020-10,60,0,71,23,19
2020-11,56,0,71,24,20
2020-12,53,0,72,24,18
2021-01,55,0,64,26,14
2021-02,56,0,74,27,19
2021-03,53,0,70,23,14
2021-04,60,0,71,24,16
2021-05,57,0,74,25,23
2021-06,60,0,64,23,17
2021-07,60,0,62,19,18
2021-08,55,0,60,24,20
2021-09,58,0,70,24,18
2021-10,54,0,70,18,22
2021-11,52,0,71,20,17
2021-12,48,0,67,18,16
2022-01,60,0,87,22,29
2022-02,57,0,82,29,24
2022-03,58,3,76,25,27
2022-04,64,0,70,29,21
2022-05,63,0,74,26,23
2022-06,63,0,76,26,25
2022-07,99,0,76,30,22
2022-08,83,0,77,29,20
2022-09,60,0,73,28,20
2022-10,60,0,82,30,23
2022-11,58,0,80,33,22
2022-12,56,0,72,26,23
2023-01,62,0,72,28,24
2023-02,61,0,76,31,25
2023-03,51,0,86,29,21
2023-04,61,0,78,28,22
2023-05,58,0,76,27,27
2023-06,60,0,76,30,24
2023-07,58,5,70,26,20
2023-08,57,0,78,26,23
2023-09,60,0,65,21,24
2023-10,54,0,72,26,24
2023-11,46,0,74,21,24
2023-12,53,0,71,20,25
2024-01,53,0,78,23,27
2024-02,54,0,75,27,21
2024-03,47,0,71,25,22
2024-04,42,0,69,21,26
2024-05,44,0,62,27,24
2024-06,35,0,75,21,22
2024-07,51,0,68,24,25
2024-08,45,0,67,26,22
2024-09,43,0,74,17,23
2024-10,52,0,79,26,26
2024-11,44,0,67,22,22
