类别：所有类别

月份,氯硝西泮: (南非),左乙拉西坦: (南非),拉莫三嗪: (南非),拉科酰胺: (南非),普瑞巴林: (南非)
2019-01,61,11,24,0,100
2019-02,53,9,26,0,100
2019-03,52,9,30,0,87
2019-04,58,11,27,0,81
2019-05,59,15,26,0,87
2019-06,61,14,23,0,83
2019-07,49,16,22,0,88
2019-08,56,8,24,0,87
2019-09,56,14,30,0,80
2019-10,66,11,27,0,88
2019-11,60,8,35,0,77
2019-12,51,12,25,0,81
2020-01,53,13,22,0,77
2020-02,63,15,28,0,72
2020-03,54,12,24,0,69
2020-04,65,13,19,0,78
2020-05,51,10,21,0,84
2020-06,49,9,20,0,65
2020-07,57,10,15,0,66
2020-08,57,12,26,0,72
2020-09,55,7,26,0,72
2020-10,59,14,23,0,69
2020-11,58,13,24,0,72
2020-12,53,13,23,0,72
2021-01,55,11,25,0,64
2021-02,57,10,26,0,72
2021-03,53,10,21,0,69
2021-04,59,12,25,0,71
2021-05,56,12,25,0,73
2021-06,60,9,23,0,65
2021-07,60,12,18,0,61
2021-08,54,13,22,0,60
2021-09,59,11,23,0,70
2021-10,53,14,20,0,71
2021-11,50,14,20,4,73
2021-12,48,10,18,0,67
2022-01,58,14,21,0,84
2022-02,56,14,30,0,82
2022-03,57,14,25,0,75
2022-04,64,14,30,0,69
2022-05,64,14,25,0,74
2022-06,62,12,25,0,77
2022-07,98,17,28,0,76
2022-08,84,17,28,0,77
2022-09,57,18,28,0,74
2022-10,60,16,29,0,80
2022-11,59,16,31,0,78
2022-12,55,14,26,0,72
2023-01,60,15,27,0,70
2023-02,61,14,31,0,76
2023-03,51,17,28,0,85
2023-04,60,18,26,0,82
2023-05,58,21,27,0,78
2023-06,60,15,29,0,75
2023-07,58,16,27,0,72
2023-08,57,18,24,0,79
2023-09,59,16,20,0,62
2023-10,54,19,27,0,71
2023-11,46,16,21,0,75
2023-12,53,17,20,0,72
2024-01,53,18,22,0,78
2024-02,55,14,26,0,74
2024-03,47,16,24,0,70
2024-04,41,18,21,0,68
2024-05,41,15,28,0,63
2024-06,34,14,20,0,75
2024-07,52,20,24,3,68
2024-08,45,15,26,0,66
2024-09,44,16,18,0,74
2024-10,51,17,27,0,79
2024-11,44,16,20,0,67
