类别：所有类别

月份,氯硝西泮: (英国),奥卡西平: (英国),苯妥英: (英国),丙戊酸: (英国),乙苯嘧啶二酮: (英国)
2019-01,26,3,11,48,3
2019-02,27,3,13,48,3
2019-03,27,3,13,46,2
2019-04,26,2,13,43,3
2019-05,26,3,14,46,3
2019-06,26,2,13,45,3
2019-07,27,2,11,42,3
2019-08,27,2,11,40,3
2019-09,35,2,11,46,2
2019-10,30,3,12,48,3
2019-11,28,3,11,43,3
2019-12,28,3,11,38,3
2020-01,30,2,12,42,3
2020-02,29,3,13,45,3
2020-03,25,2,11,39,2
2020-04,27,2,9,35,2
2020-05,26,2,10,36,3
2020-06,27,2,10,38,3
2020-07,27,3,10,58,3
2020-08,28,3,10,36,3
2020-09,29,3,11,45,3
2020-10,29,3,12,41,2
2020-11,28,3,12,36,3
2020-12,28,3,10,36,3
2021-01,34,2,12,40,3
2021-02,33,4,13,43,4
2021-03,31,3,12,44,4
2021-04,32,3,13,42,3
2021-05,29,3,13,42,3
2021-06,27,2,11,40,4
2021-07,27,2,10,44,3
2021-08,27,3,8,35,3
2021-09,28,3,9,38,3
2021-10,27,2,12,38,4
2021-11,26,3,11,40,3
2021-12,27,3,10,36,3
2022-01,34,3,14,43,4
2022-02,37,3,13,43,4
2022-03,36,3,15,45,5
2022-04,33,2,13,54,3
2022-05,33,3,14,48,4
2022-06,33,3,11,44,4
2022-07,73,2,8,40,4
2022-08,67,3,10,41,3
2022-09,45,3,11,43,5
2022-10,39,3,12,46,4
2022-11,38,3,11,45,3
2022-12,35,3,11,44,3
2023-01,39,4,13,49,4
2023-02,41,3,12,47,4
2023-03,37,3,14,47,5
2023-04,40,4,12,46,4
2023-05,40,4,14,48,5
2023-06,42,4,12,47,5
2023-07,38,4,10,44,4
2023-08,39,4,8,43,4
2023-09,40,3,11,44,4
2023-10,40,3,12,48,5
2023-11,40,3,12,49,5
2023-12,38,3,10,51,4
2024-01,36,4,13,57,4
2024-02,40,5,13,88,6
2024-03,38,3,13,51,5
2024-04,39,4,14,51,4
2024-05,36,4,12,48,4
2024-06,29,3,10,38,4
2024-07,37,3,10,43,4
2024-08,35,4,9,40,6
2024-09,37,3,12,58,5
2024-10,100,4,14,48,5
2024-11,41,4,13,46,4
