类别：所有类别

月份,氯硝西泮: (英国),托吡酯: (英国),苯巴比妥: (英国),唑尼沙胺: (英国),氯巴占: (英国)
2019-01,27,22,11,3,7
2019-02,29,24,10,3,7
2019-03,29,23,11,3,7
2019-04,27,24,10,3,8
2019-05,28,24,11,4,7
2019-06,27,25,12,3,7
2019-07,29,21,10,3,6
2019-08,28,23,9,3,7
2019-09,35,24,9,3,7
2019-10,30,24,9,3,7
2019-11,30,23,10,3,7
2019-12,30,20,9,2,6
2020-01,31,23,11,3,7
2020-02,31,26,11,3,7
2020-03,26,20,9,3,6
2020-04,28,16,9,3,6
2020-05,27,18,9,3,6
2020-06,28,22,8,3,7
2020-07,29,24,9,3,6
2020-08,30,22,9,3,5
2020-09,31,25,8,4,6
2020-10,31,23,10,4,6
2020-11,29,23,12,4,5
2020-12,29,20,11,3,7
2021-01,36,21,10,3,6
2021-02,35,26,10,3,7
2021-03,33,29,11,4,7
2021-04,34,26,9,3,7
2021-05,30,26,9,3,6
2021-06,28,25,10,3,7
2021-07,28,25,9,3,7
2021-08,28,23,9,3,7
2021-09,29,24,9,3,7
2021-10,28,22,12,3,8
2021-11,27,22,10,3,7
2021-12,28,21,9,3,7
2022-01,36,25,11,3,7
2022-02,39,28,10,3,7
2022-03,38,29,12,3,8
2022-04,35,23,11,3,7
2022-05,35,26,12,3,7
2022-06,35,25,11,3,7
2022-07,77,26,11,3,9
2022-08,69,27,9,3,8
2022-09,47,25,10,3,9
2022-10,41,26,12,3,9
2022-11,40,27,10,4,8
2022-12,37,24,11,2,8
2023-01,40,25,11,3,9
2023-02,42,27,12,4,9
2023-03,39,29,12,4,9
2023-04,41,27,13,3,9
2023-05,42,26,13,4,11
2023-06,44,26,12,4,11
2023-07,40,26,10,3,8
2023-08,40,24,11,3,9
2023-09,41,24,12,3,9
2023-10,41,25,13,4,9
2023-11,42,24,14,3,9
2023-12,39,22,11,4,8
2024-01,39,28,12,4,10
2024-02,41,27,12,4,10
2024-03,39,28,12,4,10
2024-04,41,28,12,4,9
2024-05,38,29,11,4,10
2024-06,30,24,10,4,7
2024-07,38,30,10,4,10
2024-08,37,29,11,4,9
2024-09,38,29,12,4,9
2024-10,100,30,12,4,11
2024-11,43,27,13,4,10
