类别：所有类别

月份,氯硝西泮: (英国),4-氨基-5-己烯酸: (英国),非尔氨酯: (英国),加巴喷丁: (英国),Brivaracetam: (英国)
2019-01,15,1,0,68,1
2019-02,16,0,0,74,1
2019-03,16,1,0,93,1
2019-04,15,1,0,91,1
2019-05,15,1,0,82,0
2019-06,15,1,0,76,1
2019-07,16,1,0,73,<1
2019-08,15,<1,0,73,1
2019-09,20,<1,0,76,1
2019-10,17,1,0,72,1
2019-11,16,<1,0,78,1
2019-12,17,1,0,64,1
2020-01,17,1,0,77,1
2020-02,17,1,0,77,1
2020-03,15,<1,0,62,<1
2020-04,15,1,0,60,0
2020-05,15,1,0,60,1
2020-06,16,<1,0,66,<1
2020-07,16,<1,0,69,<1
2020-08,16,1,0,77,1
2020-09,17,1,0,69,1
2020-10,17,1,0,73,1
2020-11,16,<1,0,71,<1
2020-12,16,1,0,66,1
2021-01,20,1,0,63,1
2021-02,19,1,0,74,1
2021-03,18,1,0,80,1
2021-04,19,1,0,69,1
2021-05,17,1,0,80,1
2021-06,16,1,0,68,1
2021-07,16,<1,0,70,1
2021-08,16,<1,0,74,<1
2021-09,16,0,0,72,1
2021-10,16,1,0,74,1
2021-11,15,1,0,72,1
2021-12,16,1,0,69,1
2022-01,20,1,0,83,1
2022-02,22,1,0,81,1
2022-03,21,1,0,88,1
2022-04,19,1,0,86,1
2022-05,19,1,0,83,1
2022-06,19,1,0,83,1
2022-07,42,1,0,78,1
2022-08,38,1,0,78,1
2022-09,26,<1,0,82,1
2022-10,23,1,0,84,1
2022-11,22,1,0,87,1
2022-12,20,1,0,84,1
2023-01,23,1,0,87,1
2023-02,24,1,0,93,1
2023-03,21,1,0,91,1
2023-04,23,1,0,91,1
2023-05,23,1,0,96,1
2023-06,24,1,0,93,2
2023-07,22,1,0,87,1
2023-08,22,1,0,100,1
2023-09,23,1,0,91,1
2023-10,23,1,0,87,1
2023-11,24,1,0,85,1
2023-12,22,1,0,79,1
2024-01,21,1,0,88,2
2024-02,23,1,0,85,2
2024-03,22,1,0,92,2
2024-04,23,1,0,81,2
2024-05,21,1,0,88,2
2024-06,17,1,0,77,2
2024-07,21,<1,0,84,2
2024-08,21,1,<1,86,2
2024-09,21,1,0,89,2
2024-10,52,1,0,90,2
2024-11,24,1,0,89,2
