类别：所有类别

月份,氯硝西泮: (英国),Tiagabine: (英国),卡马西平: (英国),Rufinamide: (英国),Perampanel: (英国)
2019-01,27,0,36,0,2
2019-02,29,0,36,0,2
2019-03,29,0,38,0,2
2019-04,27,0,36,0,2
2019-05,28,0,37,0,2
2019-06,27,0,36,0,2
2019-07,29,0,34,0,2
2019-08,28,0,32,1,2
2019-09,35,1,34,1,2
2019-10,30,1,36,0,1
2019-11,30,1,34,0,2
2019-12,30,0,30,0,2
2020-01,31,0,34,0,2
2020-02,31,0,36,1,2
2020-03,26,0,28,0,1
2020-04,28,0,27,0,1
2020-05,27,0,28,0,1
2020-06,28,0,28,<1,2
2020-07,29,0,30,1,1
2020-08,30,0,29,1,2
2020-09,31,1,32,1,2
2020-10,31,0,35,0,2
2020-11,29,0,33,0,2
2020-12,29,0,29,0,2
2021-01,36,0,31,0,2
2021-02,35,0,38,0,1
2021-03,33,0,38,1,2
2021-04,34,0,36,1,2
2021-05,30,0,38,0,2
2021-06,28,0,39,0,2
2021-07,28,0,32,0,2
2021-08,28,0,32,0,2
2021-09,29,0,30,1,2
2021-10,28,0,34,0,2
2021-11,27,0,37,0,2
2021-12,28,0,31,0,2
2022-01,36,0,39,0,2
2022-02,39,0,41,0,3
2022-03,38,0,43,1,2
2022-04,35,0,39,0,2
2022-05,35,0,45,0,2
2022-06,35,0,36,0,2
2022-07,77,0,34,0,2
2022-08,69,0,34,1,2
2022-09,47,0,36,0,2
2022-10,41,0,39,0,2
2022-11,40,0,36,0,2
2022-12,37,0,33,0,2
2023-01,40,0,39,1,2
2023-02,42,0,41,0,3
2023-03,39,1,41,1,2
2023-04,41,0,40,1,2
2023-05,42,1,45,0,2
2023-06,44,0,40,1,3
2023-07,40,0,36,1,2
2023-08,40,0,39,1,2
2023-09,41,0,40,0,2
2023-10,41,0,45,1,2
2023-11,42,0,46,1,2
2023-12,39,0,39,1,1
2024-01,39,0,53,1,2
2024-02,41,0,58,1,2
2024-03,39,0,50,0,2
2024-04,41,0,43,0,3
2024-05,38,0,48,1,3
2024-06,30,0,39,0,2
2024-07,38,0,40,1,3
2024-08,37,0,39,1,2
2024-09,38,0,36,0,2
2024-10,100,0,43,0,3
2024-11,43,0,41,0,3
