类别：所有类别

月份,氯硝西泮: (英国),左乙拉西坦: (英国),拉莫三嗪: (英国),拉科酰胺: (英国),普瑞巴林: (英国)
2019-01,11,15,16,1,50
2019-02,12,16,17,2,58
2019-03,12,15,17,2,58
2019-04,11,16,17,2,60
2019-05,12,16,17,2,57
2019-06,11,16,16,2,57
2019-07,12,15,15,2,49
2019-08,12,16,15,2,52
2019-09,15,16,17,2,55
2019-10,13,15,15,2,53
2019-11,12,16,17,2,52
2019-12,12,15,15,2,45
2020-01,13,15,17,2,57
2020-02,13,17,16,2,55
2020-03,11,14,14,2,43
2020-04,12,12,13,1,42
2020-05,11,13,13,1,44
2020-06,12,15,14,2,47
2020-07,12,16,15,2,49
2020-08,13,15,15,2,46
2020-09,13,15,16,2,47
2020-10,13,16,16,2,49
2020-11,12,15,16,2,49
2020-12,12,15,14,1,46
2021-01,15,14,15,2,48
2021-02,14,16,19,2,49
2021-03,14,17,18,2,56
2021-04,14,16,18,2,58
2021-05,13,17,18,2,55
2021-06,12,17,18,2,53
2021-07,12,16,17,2,56
2021-08,12,15,16,2,56
2021-09,12,16,16,2,53
2021-10,12,16,16,2,53
2021-11,11,17,20,1,54
2021-12,12,17,16,2,58
2022-01,15,17,20,2,55
2022-02,16,19,22,2,57
2022-03,16,19,22,2,62
2022-04,15,17,21,2,59
2022-05,15,20,22,2,61
2022-06,14,18,21,2,61
2022-07,32,17,20,2,57
2022-08,29,18,21,3,62
2022-09,20,20,20,2,60
2022-10,17,20,20,2,63
2022-11,17,19,21,2,58
2022-12,15,17,19,2,59
2023-01,17,20,21,2,65
2023-02,18,20,23,2,68
2023-03,16,20,23,3,73
2023-04,17,19,21,2,78
2023-05,17,20,24,3,70
2023-06,18,20,24,2,79
2023-07,17,20,21,3,68
2023-08,17,19,22,2,97
2023-09,17,19,22,2,67
2023-10,17,20,22,2,64
2023-11,18,21,24,3,62
2023-12,16,19,21,2,62
2024-01,16,22,24,3,72
2024-02,17,22,25,3,66
2024-03,16,22,24,3,100
2024-04,17,22,26,3,70
2024-05,16,22,25,3,66
2024-06,13,19,21,3,61
2024-07,16,21,23,3,65
2024-08,16,21,24,3,65
2024-09,16,22,25,3,65
2024-10,42,22,25,3,66
2024-11,18,23,23,3,68
