类别：所有类别

月份,氯硝西泮: (英国),乙琥胺: (英国),普瑞巴林: (英国),拉莫三嗪: (英国),加巴喷丁: (英国)
2019-01,11,1,49,16,55
2019-02,12,<1,57,17,62
2019-03,12,1,63,16,67
2019-04,11,1,65,17,65
2019-05,11,1,56,17,55
2019-06,11,1,55,16,56
2019-07,12,<1,51,15,58
2019-08,12,1,53,15,61
2019-09,15,1,53,17,56
2019-10,13,1,53,15,56
2019-11,12,1,50,17,52
2019-12,12,1,48,15,50
2020-01,13,1,52,17,61
2020-02,13,1,60,17,56
2020-03,11,1,44,14,47
2020-04,12,1,41,13,47
2020-05,11,<1,43,13,49
2020-06,12,1,53,14,49
2020-07,12,1,48,15,50
2020-08,12,<1,48,15,51
2020-09,13,1,50,16,52
2020-10,13,1,49,16,54
2020-11,12,1,50,16,54
2020-12,12,1,45,14,49
2021-01,15,1,48,15,50
2021-02,14,1,55,19,55
2021-03,14,1,57,18,59
2021-04,14,1,57,18,56
2021-05,12,1,54,18,56
2021-06,12,1,54,18,50
2021-07,12,1,56,17,54
2021-08,12,1,55,17,52
2021-09,12,1,51,16,54
2021-10,12,1,54,16,58
2021-11,11,1,52,20,54
2021-12,12,<1,54,16,50
2022-01,15,1,60,19,58
2022-02,16,1,52,22,60
2022-03,16,1,61,21,63
2022-04,14,1,57,21,64
2022-05,15,1,60,21,65
2022-06,14,1,60,21,58
2022-07,32,1,59,20,55
2022-08,29,1,62,21,64
2022-09,19,1,59,20,61
2022-10,17,1,65,20,63
2022-11,16,1,58,21,64
2022-12,15,1,58,19,62
2023-01,17,1,62,21,66
2023-02,18,1,64,22,67
2023-03,16,1,75,23,69
2023-04,17,1,76,21,65
2023-05,17,1,71,23,72
2023-06,18,1,75,24,71
2023-07,17,1,69,21,69
2023-08,17,1,100,22,70
2023-09,17,1,69,22,67
2023-10,17,1,66,22,65
2023-11,17,1,63,23,66
2023-12,17,1,61,21,60
2024-01,16,1,71,24,66
2024-02,17,1,66,24,64
2024-03,16,1,98,23,65
2024-04,17,1,70,26,62
2024-05,16,1,67,25,66
2024-06,13,1,61,21,57
2024-07,16,1,64,23,60
2024-08,15,1,66,24,63
2024-09,16,1,74,25,64
2024-10,44,1,69,24,68
2024-11,18,1,65,23,60
