类别：所有类别

月份,氯硝西泮: (美国),Perampanel: (美国),Rufinamide: (美国),卡马西平: (美国),Tiagabine: (美国)
2019-01,70,1,1,12,<1
2019-02,70,1,<1,13,<1
2019-03,69,1,1,13,<1
2019-04,67,1,<1,12,<1
2019-05,67,1,<1,13,<1
2019-06,68,1,<1,13,<1
2019-07,65,1,1,12,<1
2019-08,67,1,<1,12,<1
2019-09,67,1,<1,12,<1
2019-10,68,1,<1,12,<1
2019-11,61,1,<1,12,<1
2019-12,59,1,<1,11,<1
2020-01,63,1,<1,12,<1
2020-02,63,1,<1,12,<1
2020-03,57,1,<1,10,<1
2020-04,55,1,<1,10,<1
2020-05,54,1,<1,10,<1
2020-06,60,1,<1,10,<1
2020-07,57,1,<1,10,<1
2020-08,59,1,<1,10,<1
2020-09,54,1,<1,10,<1
2020-10,59,1,<1,11,<1
2020-11,54,1,<1,10,<1
2020-12,57,1,<1,9,<1
2021-01,57,1,<1,10,<1
2021-02,60,1,<1,12,<1
2021-03,58,1,<1,11,<1
2021-04,58,1,<1,12,<1
2021-05,57,1,<1,11,<1
2021-06,56,1,1,11,<1
2021-07,58,1,<1,12,<1
2021-08,58,1,<1,11,<1
2021-09,52,1,1,11,<1
2021-10,56,1,<1,11,<1
2021-11,54,1,<1,10,<1
2021-12,53,1,<1,11,<1
2022-01,66,1,<1,12,<1
2022-02,66,1,<1,13,<1
2022-03,65,1,1,13,<1
2022-04,63,1,<1,12,<1
2022-05,61,1,<1,11,<1
2022-06,61,1,<1,12,<1
2022-07,100,1,<1,11,<1
2022-08,88,1,<1,11,<1
2022-09,62,1,<1,11,<1
2022-10,60,1,<1,11,<1
2022-11,55,1,<1,11,<1
2022-12,60,1,<1,11,<1
2023-01,64,1,<1,11,<1
2023-02,66,1,<1,13,<1
2023-03,66,1,<1,12,<1
2023-04,61,1,<1,13,<1
2023-05,65,1,<1,11,<1
2023-06,65,1,<1,12,<1
2023-07,62,1,<1,12,<1
2023-08,60,1,<1,12,<1
2023-09,64,1,<1,11,<1
2023-10,61,1,<1,12,<1
2023-11,57,1,<1,11,<1
2023-12,55,1,<1,10,<1
2024-01,56,1,<1,11,<1
2024-02,59,1,<1,11,<1
2024-03,56,1,<1,11,<1
2024-04,56,1,<1,12,<1
2024-05,60,1,<1,11,<1
2024-06,49,1,<1,10,<1
2024-07,52,1,<1,10,<1
2024-08,57,1,<1,11,<1
2024-09,52,1,<1,11,<1
2024-10,54,1,<1,12,<1
2024-11,62,1,<1,12,<1
