类别：所有类别

月份,氯硝西泮: (美国),Brivaracetam: (美国),加巴喷丁: (美国),非尔氨酯: (美国),4-氨基-5-己烯酸: (美国)
2019-01,41,<1,74,<1,<1
2019-02,41,<1,71,<1,<1
2019-03,41,<1,74,<1,<1
2019-04,40,<1,73,<1,<1
2019-05,40,<1,72,<1,<1
2019-06,40,<1,78,<1,<1
2019-07,42,<1,77,<1,<1
2019-08,41,<1,76,<1,<1
2019-09,40,<1,72,<1,<1
2019-10,39,<1,77,<1,<1
2019-11,37,<1,76,<1,<1
2019-12,34,<1,77,<1,<1
2020-01,37,<1,83,<1,<1
2020-02,37,<1,78,<1,<1
2020-03,33,<1,64,<1,<1
2020-04,33,<1,64,<1,<1
2020-05,33,<1,66,<1,<1
2020-06,36,<1,70,<1,<1
2020-07,34,<1,76,<1,<1
2020-08,33,<1,71,<1,<1
2020-09,33,<1,70,<1,<1
2020-10,35,<1,77,<1,<1
2020-11,32,<1,71,<1,<1
2020-12,32,<1,72,<1,<1
2021-01,32,<1,75,<1,<1
2021-02,34,<1,76,<1,<1
2021-03,33,<1,77,<1,<1
2021-04,33,<1,78,<1,<1
2021-05,34,<1,75,<1,<1
2021-06,33,<1,82,<1,<1
2021-07,34,<1,79,<1,<1
2021-08,35,<1,78,<1,<1
2021-09,32,<1,76,<1,<1
2021-10,32,<1,78,<1,<1
2021-11,33,<1,78,<1,<1
2021-12,31,<1,76,<1,<1
2022-01,37,<1,84,<1,<1
2022-02,39,<1,91,<1,<1
2022-03,38,<1,96,<1,<1
2022-04,36,<1,94,<1,<1
2022-05,36,<1,92,<1,<1
2022-06,36,<1,91,<1,<1
2022-07,60,<1,97,<1,<1
2022-08,51,<1,99,<1,<1
2022-09,37,<1,89,<1,<1
2022-10,37,<1,97,<1,<1
2022-11,34,<1,85,<1,<1
2022-12,34,<1,92,<1,<1
2023-01,37,<1,91,<1,<1
2023-02,38,<1,95,<1,<1
2023-03,37,<1,100,<1,<1
2023-04,37,<1,94,<1,<1
2023-05,38,<1,96,<1,<1
2023-06,38,<1,99,<1,<1
2023-07,37,<1,94,<1,<1
2023-08,35,<1,88,<1,<1
2023-09,36,<1,90,<1,<1
2023-10,37,<1,92,<1,<1
2023-11,34,<1,86,<1,<1
2023-12,33,<1,89,<1,<1
2024-01,33,<1,88,<1,<1
2024-02,33,<1,88,<1,<1
2024-03,33,<1,88,<1,<1
2024-04,34,<1,90,<1,<1
2024-05,35,<1,89,<1,<1
2024-06,30,<1,82,<1,<1
2024-07,33,<1,90,<1,<1
2024-08,33,<1,91,<1,<1
2024-09,33,<1,87,<1,<1
2024-10,33,<1,87,<1,<1
2024-11,36,<1,89,<1,<1
