类别：所有类别

月份,氯硝西泮: (美国),氯巴占: (美国),唑尼沙胺: (美国),苯巴比妥: (美国),托吡酯: (美国)
2019-01,68,3,4,8,32
2019-02,68,2,4,8,33
2019-03,67,2,4,8,32
2019-04,66,2,4,9,35
2019-05,67,2,4,8,33
2019-06,66,2,4,8,34
2019-07,69,2,4,10,33
2019-08,67,2,4,8,33
2019-09,66,2,4,8,31
2019-10,65,2,4,8,34
2019-11,61,2,4,7,32
2019-12,57,2,4,7,29
2020-01,61,2,4,10,32
2020-02,61,2,4,9,33
2020-03,55,2,4,8,28
2020-04,54,2,3,7,25
2020-05,54,2,3,7,26
2020-06,60,2,4,8,31
2020-07,57,2,4,8,31
2020-08,55,2,4,7,28
2020-09,54,2,4,8,29
2020-10,57,2,4,8,32
2020-11,53,2,4,7,28
2020-12,53,2,4,8,27
2021-01,53,2,4,8,28
2021-02,55,2,4,8,32
2021-03,55,2,4,8,32
2021-04,55,2,4,8,32
2021-05,56,2,4,8,34
2021-06,54,2,4,8,35
2021-07,57,2,4,8,30
2021-08,57,2,4,7,30
2021-09,53,2,4,8,29
2021-10,52,2,4,8,30
2021-11,55,2,4,8,29
2021-12,52,2,4,8,28
2022-01,61,2,4,9,30
2022-02,65,2,5,10,36
2022-03,64,3,5,9,38
2022-04,60,2,5,9,36
2022-05,59,2,6,8,35
2022-06,60,2,5,10,35
2022-07,100,2,5,9,35
2022-08,84,2,5,9,36
2022-09,61,2,4,9,34
2022-10,62,2,4,9,34
2022-11,56,2,4,9,33
2022-12,56,2,4,9,31
2023-01,62,2,5,8,35
2023-02,64,2,5,9,38
2023-03,61,3,5,9,40
2023-04,62,3,5,9,37
2023-05,64,3,5,10,38
2023-06,64,3,5,10,40
2023-07,61,3,5,8,36
2023-08,58,3,5,9,36
2023-09,60,2,4,9,35
2023-10,61,3,4,9,34
2023-11,56,3,4,10,33
2023-12,54,3,4,9,31
2024-01,55,3,4,9,37
2024-02,55,3,4,9,38
2024-03,54,3,4,9,37
2024-04,56,3,4,9,39
2024-05,57,3,4,9,38
2024-06,49,3,4,9,35
2024-07,54,3,4,9,37
2024-08,55,3,4,8,37
2024-09,54,3,5,8,36
2024-10,54,3,4,9,37
2024-11,60,3,4,10,36
