类别：所有类别

月份,氯硝西泮: (美国),奥卡西平: (美国),苯妥英: (美国),丙戊酸: (美国),乙苯嘧啶二酮: (美国)
2019-01,68,11,10,29,4
2019-02,68,12,12,31,4
2019-03,67,12,10,30,4
2019-04,66,12,12,30,5
2019-05,67,12,10,29,5
2019-06,66,12,11,29,4
2019-07,69,11,11,29,4
2019-08,67,12,9,29,4
2019-09,66,12,11,28,4
2019-10,65,12,10,31,4
2019-11,61,13,11,29,4
2019-12,57,11,9,21,4
2020-01,61,12,9,28,5
2020-02,61,12,11,30,5
2020-03,55,10,9,24,4
2020-04,54,9,10,22,3
2020-05,54,10,9,22,3
2020-06,60,10,9,20,4
2020-07,57,11,9,20,4
2020-08,55,10,8,23,4
2020-09,54,11,10,25,4
2020-10,57,12,11,21,4
2020-11,53,10,9,19,4
2020-12,53,11,9,18,4
2021-01,53,10,9,18,4
2021-02,55,10,10,20,4
2021-03,55,9,10,21,4
2021-04,55,10,10,21,5
2021-05,56,11,9,21,4
2021-06,54,11,9,23,5
2021-07,57,11,9,23,4
2021-08,57,11,9,22,4
2021-09,53,11,10,22,4
2021-10,52,12,9,23,4
2021-11,55,11,9,23,4
2021-12,52,10,8,24,4
2022-01,61,11,10,27,5
2022-02,65,12,12,30,5
2022-03,64,13,12,31,5
2022-04,60,12,11,29,5
2022-05,59,12,10,28,5
2022-06,60,12,10,28,5
2022-07,100,12,9,30,5
2022-08,84,13,10,28,5
2022-09,61,12,10,27,5
2022-10,62,13,10,28,5
2022-11,56,11,9,27,4
2022-12,56,11,9,25,4
2023-01,62,13,9,27,5
2023-02,64,12,11,29,5
2023-03,61,13,10,30,5
2023-04,62,12,10,30,5
2023-05,64,13,8,30,5
2023-06,64,13,10,30,5
2023-07,61,12,9,28,5
2023-08,58,13,7,28,5
2023-09,60,12,9,28,5
2023-10,61,12,10,29,5
2023-11,56,12,9,28,5
2023-12,54,10,8,24,4
2024-01,55,11,9,27,4
2024-02,55,12,10,30,5
2024-03,54,12,10,28,4
2024-04,56,12,10,28,5
2024-05,57,10,8,26,4
2024-06,49,10,8,25,4
2024-07,54,12,8,28,5
2024-08,55,12,8,28,5
2024-09,54,12,8,28,5
2024-10,54,12,9,29,5
2024-11,60,11,9,28,5
