类别：所有类别

月份,氯硝西泮: (美国),乙琥胺: (美国),普瑞巴林: (美国),拉莫三嗪: (美国),加巴喷丁: (美国)
2019-01,41,<1,20,20,75
2019-02,41,1,20,22,72
2019-03,40,1,20,21,72
2019-04,39,1,21,22,68
2019-05,39,<1,20,21,73
2019-06,40,<1,21,21,76
2019-07,38,<1,22,22,76
2019-08,39,<1,25,21,77
2019-09,39,<1,23,20,72
2019-10,40,1,23,23,74
2019-11,36,<1,21,21,75
2019-12,34,<1,20,19,75
2020-01,37,<1,22,22,83
2020-02,37,<1,21,22,77
2020-03,33,<1,18,18,64
2020-04,32,<1,16,17,62
2020-05,31,<1,17,17,66
2020-06,35,<1,18,19,72
2020-07,34,<1,20,20,73
2020-08,34,<1,19,20,71
2020-09,32,<1,18,19,71
2020-10,34,<1,20,21,76
2020-11,32,<1,19,19,73
2020-12,33,<1,18,19,71
2021-01,33,<1,20,20,75
2021-02,35,<1,21,22,78
2021-03,34,<1,20,20,74
2021-04,34,<1,20,22,79
2021-05,34,<1,22,20,80
2021-06,33,<1,23,22,81
2021-07,34,<1,22,21,79
2021-08,34,<1,21,21,77
2021-09,30,<1,21,21,75
2021-10,33,<1,22,20,75
2021-11,32,<1,22,21,77
2021-12,31,<1,20,21,76
2022-01,38,<1,21,23,87
2022-02,39,1,23,26,92
2022-03,38,1,25,27,92
2022-04,37,1,24,30,93
2022-05,36,1,23,28,89
2022-06,35,<1,24,26,94
2022-07,58,1,24,26,95
2022-08,51,1,25,27,99
2022-09,36,1,24,24,89
2022-10,35,1,24,25,93
2022-11,32,<1,24,26,85
2022-12,35,<1,23,23,92
2023-01,38,<1,24,25,92
2023-02,39,1,27,29,96
2023-03,39,1,24,27,99
2023-04,35,<1,25,28,92
2023-05,38,1,26,27,93
2023-06,38,1,27,28,100
2023-07,36,<1,24,26,96
2023-08,35,<1,26,25,90
2023-09,37,<1,23,24,89
2023-10,36,<1,23,25,89
2023-11,34,<1,23,24,86
2023-12,32,<1,23,22,89
2024-01,33,<1,22,25,88
2024-02,35,1,24,26,89
2024-03,33,1,24,24,90
2024-04,33,1,24,26,90
2024-05,35,<1,24,26,88
2024-06,29,<1,30,24,81
2024-07,30,<1,24,25,89
2024-08,33,1,25,26,90
2024-09,31,1,22,25,87
2024-10,32,1,23,27,87
2024-11,36,1,23,24,91
