类别：所有类别

月份,氯硝西泮: (美国),普瑞巴林: (美国),拉科酰胺: (美国),拉莫三嗪: (美国),左乙拉西坦: (美国)
2019-01,70,35,6,35,25
2019-02,70,33,6,37,24
2019-03,69,34,6,36,24
2019-04,67,36,6,38,25
2019-05,67,34,6,36,25
2019-06,68,35,6,35,26
2019-07,65,37,6,37,26
2019-08,67,42,6,35,25
2019-09,67,39,6,34,25
2019-10,68,39,6,40,25
2019-11,61,36,6,35,25
2019-12,59,34,6,32,24
2020-01,63,37,6,37,24
2020-02,63,36,7,37,26
2020-03,57,31,5,30,21
2020-04,55,28,5,29,19
2020-05,54,29,5,29,19
2020-06,60,31,5,33,22
2020-07,57,34,5,34,22
2020-08,59,32,6,33,24
2020-09,54,31,6,33,23
2020-10,59,35,6,35,24
2020-11,54,32,5,32,23
2020-12,57,31,6,32,22
2021-01,57,33,6,33,24
2021-02,60,36,6,37,24
2021-03,58,35,6,35,24
2021-04,58,35,6,37,24
2021-05,57,37,6,34,23
2021-06,56,39,6,38,25
2021-07,58,38,7,36,25
2021-08,58,35,6,35,23
2021-09,52,36,6,36,23
2021-10,56,38,6,35,23
2021-11,54,38,6,36,23
2021-12,53,34,6,35,23
2022-01,66,36,7,40,24
2022-02,66,39,8,45,28
2022-03,65,43,8,46,27
2022-04,63,41,8,51,26
2022-05,61,40,7,48,25
2022-06,61,41,8,44,27
2022-07,100,41,8,45,28
2022-08,88,43,7,46,28
2022-09,62,40,7,42,26
2022-10,60,42,8,43,28
2022-11,55,41,8,45,27
2022-12,60,38,7,39,27
2023-01,64,42,7,42,28
2023-02,66,46,9,49,30
2023-03,66,42,8,47,28
2023-04,61,43,8,48,29
2023-05,65,45,8,46,28
2023-06,65,46,8,48,30
2023-07,62,42,8,45,27
2023-08,60,45,8,42,29
2023-09,64,39,8,42,27
2023-10,61,40,8,43,28
2023-11,57,39,8,41,26
2023-12,55,39,7,38,27
2024-01,56,38,7,42,27
2024-02,59,42,8,45,28
2024-03,56,40,8,42,27
2024-04,56,41,8,45,28
2024-05,60,41,8,44,27
2024-06,49,51,7,41,25
2024-07,52,42,8,44,28
2024-08,57,42,8,45,28
2024-09,52,38,8,43,28
2024-10,54,39,8,46,28
2024-11,62,39,8,42,28
